sitename,cultivar
MAC Field Scanner Season 6 Range 21 Column 9,PI641835
MAC Field Scanner Season 6 Range 21 Column 10,PI569447
MAC Field Scanner Season 6 Range 21 Column 11,PI92270
MAC Field Scanner Season 6 Range 21 Column 12,PI651496
MAC Field Scanner Season 6 Range 21 Column 13,PI641862
MAC Field Scanner Season 6 Range 21 Column 14,PI152733
MAC Field Scanner Season 6 Range 21 Column 15,PI641860
MAC Field Scanner Season 6 Range 21 Column 16,SP1516
MAC Field Scanner Season 6 Range 22 Column 1,SP1516
MAC Field Scanner Season 6 Range 22 Column 2,PI569148
MAC Field Scanner Season 6 Range 22 Column 3,PI511355
MAC Field Scanner Season 6 Range 22 Column 4,PI337689
MAC Field Scanner Season 6 Range 22 Column 5,PI329351
MAC Field Scanner Season 6 Range 22 Column 6,PI152860
MAC Field Scanner Season 6 Range 22 Column 7,PI251672
MAC Field Scanner Season 6 Range 22 Column 8,PI563021
MAC Field Scanner Season 6 Range 22 Column 9,PI156178
MAC Field Scanner Season 6 Range 22 Column 10,PI329301
MAC Field Scanner Season 6 Range 22 Column 11,PI329843
MAC Field Scanner Season 6 Range 22 Column 12,PI152771
MAC Field Scanner Season 6 Range 22 Column 13,PI329310
MAC Field Scanner Season 6 Range 22 Column 14,PI562781
MAC Field Scanner Season 6 Range 22 Column 15,PI562970
MAC Field Scanner Season 6 Range 22 Column 16,SP1516
MAC Field Scanner Season 6 Range 23 Column 1,SP1516
MAC Field Scanner Season 6 Range 23 Column 2,PI329338
MAC Field Scanner Season 6 Range 23 Column 3,PI156463
MAC Field Scanner Season 6 Range 23 Column 4,PI569423
MAC Field Scanner Season 6 Range 23 Column 5,PI329585
MAC Field Scanner Season 6 Range 23 Column 6,PI570038
MAC Field Scanner Season 6 Range 23 Column 7,PI329480
MAC Field Scanner Season 6 Range 23 Column 8,PI156890
MAC Field Scanner Season 6 Range 23 Column 9,PI569465
MAC Field Scanner Season 6 Range 23 Column 10,PI619838
MAC Field Scanner Season 6 Range 23 Column 11,PI63715
MAC Field Scanner Season 6 Range 23 Column 12,PI641807
MAC Field Scanner Season 6 Range 23 Column 13,PI303658
MAC Field Scanner Season 6 Range 23 Column 14,PI330833
MAC Field Scanner Season 6 Range 23 Column 15,PI176766
MAC Field Scanner Season 6 Range 23 Column 16,SP1516
MAC Field Scanner Season 6 Range 24 Column 1,SP1516
MAC Field Scanner Season 6 Range 24 Column 2,PI641892
MAC Field Scanner Season 6 Range 24 Column 3,PI329665
MAC Field Scanner Season 6 Range 24 Column 4,PI566819
MAC Field Scanner Season 6 Range 24 Column 5,PI152971
MAC Field Scanner Season 6 Range 24 Column 6,PI569097
MAC Field Scanner Season 6 Range 24 Column 7,PI562997
MAC Field Scanner Season 6 Range 24 Column 8,PI329699
MAC Field Scanner Season 6 Range 24 Column 9,PI255239
MAC Field Scanner Season 6 Range 24 Column 10,PI266927
MAC Field Scanner Season 6 Range 24 Column 11,PI329702
MAC Field Scanner Season 6 Range 24 Column 12,PI297130
MAC Field Scanner Season 6 Range 24 Column 13,PI330796
MAC Field Scanner Season 6 Range 24 Column 14,PI562990
MAC Field Scanner Season 6 Range 24 Column 15,PI196586
MAC Field Scanner Season 6 Range 24 Column 16,SP1516
MAC Field Scanner Season 6 Range 25 Column 1,SP1516
MAC Field Scanner Season 6 Range 25 Column 2,PI563332
MAC Field Scanner Season 6 Range 25 Column 3,PI167093
